Model	E	t	sec	obj
JSP_integrated_fast.mod	E11	43200	2.689	114
JSP_integrated_fast.mod	E12	43200	0.458	90
JSP_integrated_fast.mod	E13	43200	0.583	98
JSP_integrated_fast.mod	E14	43200	5.029	140
JSP_integrated_fast.mod	E21	43200	19.287	116
JSP_integrated_fast.mod	E22	43200	0.38	82
JSP_integrated_fast.mod	E23	43200	0.65	89
JSP_integrated_fast.mod	E24	43200	26.63	134
JSP_integrated_fast.mod	E31	43200	5.723	121
JSP_integrated_fast.mod	E32	43200	0.23	89
JSP_integrated_fast.mod	E33	43200	0.471	96
JSP_integrated_fast.mod	E34	43200	18.811	148
JSP_integrated_fast.mod	E41	43200	186.348	136
JSP_integrated_fast.mod	E42	43200	9.271	100
JSP_integrated_fast.mod	E43	43200	12.033	102
JSP_integrated_fast.mod	E44	43200	161.162	163
JSP_integrated_fast.mod	E51	43200	6.264	110
JSP_integrated_fast.mod	E52	43200	1.013	81
JSP_integrated_fast.mod	E53	43200	1.268	89
JSP_integrated_fast.mod	E54	43200	8.227	134
JSP_integrated_fast.mod	E61	43200	25.668	129
JSP_integrated_fast.mod	E62	43200	0.189	102
JSP_integrated_fast.mod	E63	43200	0.558	105
JSP_integrated_fast.mod	E64	43200	54.22	151
JSP_integrated_fast.mod	E71	43200	41806.158	133
JSP_integrated_fast.mod	E72	43200	1.626	86
JSP_integrated_fast.mod	E73	43200	20.907	93
JSP_integrated_fast.mod	E74	43200	43200.005	162
JSP_integrated_fast.mod	E81	43200	0.069	167
JSP_integrated_fast.mod	E82	43200	0.027	155
JSP_integrated_fast.mod	E83	43200	0.039	155
JSP_integrated_fast.mod	E84	43200	5.835	178
JSP_integrated_fast.mod	E91	43200	2.386	127
JSP_integrated_fast.mod	E92	43200	0.279	106
JSP_integrated_fast.mod	E93	43200	0.388	107
JSP_integrated_fast.mod	E94	43200	7.108	149
JSP_integrated_fast.mod	E101	43200	4.585	153
JSP_integrated_fast.mod	E102	43200	0.61	139
JSP_integrated_fast.mod	E103	43200	1.093	139
JSP_integrated_fast.mod	E104	43200	259.257	183
