Model	E	sec	obj
JSP_integrated.mod	E11	300.011	96
JSP_integrated2.mod	E11	0.83	96
JSP_integrated.mod	E12	300.009	82
JSP_integrated2.mod	E12	0.441	82
JSP_integrated.mod	E13	300.007	84
JSP_integrated2.mod	E13	0.393	84
JSP_integrated.mod	E14	300.01	103
JSP_integrated2.mod	E14	1.255	103
JSP_integrated.mod	E21	300.01	103
JSP_integrated2.mod	E21	2.205	100
JSP_integrated.mod	E22	0.187	76
JSP_integrated2.mod	E22	0.168	76
JSP_integrated.mod	E23	300.008	86
JSP_integrated2.mod	E23	1.589	86
JSP_integrated.mod	E24	300.011	108
JSP_integrated2.mod	E24	5.015	108
JSP_integrated.mod	E31	300.008	99
JSP_integrated2.mod	E31	1.261	99
JSP_integrated.mod	E32	300.008	85
JSP_integrated2.mod	E32	0.487	85
JSP_integrated.mod	E33	300.01	86
JSP_integrated2.mod	E33	0.264	86
JSP_integrated.mod	E34	300.012	112
JSP_integrated2.mod	E34	2.077	111
JSP_integrated.mod	E41	300.014	112
JSP_integrated2.mod	E41	22.417	112
JSP_integrated.mod	E42	300.011	87
JSP_integrated2.mod	E42	3.884	87
JSP_integrated.mod	E43	300.012	89
JSP_integrated2.mod	E43	2.369	89
JSP_integrated.mod	E44	300.015	125
JSP_integrated2.mod	E44	7.595	121
JSP_integrated.mod	E51	300.008	87
JSP_integrated2.mod	E51	1.386	87
JSP_integrated.mod	E52	300.007	69
JSP_integrated2.mod	E52	0.462	69
JSP_integrated.mod	E53	300.008	74
JSP_integrated2.mod	E53	1.226	74
JSP_integrated.mod	E54	300.011	96
JSP_integrated2.mod	E54	2.175	96
JSP_integrated.mod	E61	300.013	118
JSP_integrated2.mod	E61	4.399	118
JSP_integrated.mod	E62	300.01	98
JSP_integrated2.mod	E62	0.392	98
JSP_integrated.mod	E63	300.007	103
JSP_integrated2.mod	E63	0.656	103
JSP_integrated.mod	E64	300.008	120
JSP_integrated2.mod	E64	3.721	120
JSP_integrated.mod	E71	300.009	113
JSP_integrated2.mod	E71	300.005	111
JSP_integrated.mod	E72	300.007	79
JSP_integrated2.mod	E72	1.216	79
JSP_integrated.mod	E73	300.007	84
JSP_integrated2.mod	E73	2.582	83
JSP_integrated.mod	E74	300.009	126
JSP_integrated2.mod	E74	300.006	127
JSP_integrated.mod	E81	0.11	161
JSP_integrated2.mod	E81	0.071	161
JSP_integrated.mod	E82	0.044	151
JSP_integrated2.mod	E82	0.016	151
JSP_integrated.mod	E83	0.056	153
JSP_integrated2.mod	E83	0.013	153
JSP_integrated.mod	E84	0.241	163
JSP_integrated2.mod	E84	0.14	163
JSP_integrated.mod	E91	300.005	116
JSP_integrated2.mod	E91	0.95	116
JSP_integrated.mod	E92	300.007	102
JSP_integrated2.mod	E92	0.274	102
JSP_integrated.mod	E93	300.006	105
JSP_integrated2.mod	E93	0.376	105
JSP_integrated.mod	E94	300.007	120
JSP_integrated2.mod	E94	1.299	120
JSP_integrated.mod	E101	300.008	146
JSP_integrated2.mod	E101	2.348	146
JSP_integrated.mod	E102	300.007	135
JSP_integrated2.mod	E102	0.666	135
JSP_integrated.mod	E103	300.008	137
JSP_integrated2.mod	E103	1.295	137
JSP_integrated.mod	E104	300.009	159
JSP_integrated2.mod	E104	12.803	157
