Model	swv	nv	t	sec	obj
JSP_integrated.mod	swv1	3	1800	1800.082	2102
JSP_integrated.mod	swv1	5	1800	1800.108	1692
JSP_integrated_fast.mod	swv1	3	1800	1800.026	2021
JSP_integrated_fast.mod	swv1	5	1800	1800.051	1631
JSP_integrated.mod	swv2	3	1800	1800.089	1999
JSP_integrated.mod	swv2	5	1800	1800.027	1710
JSP_integrated_fast.mod	swv2	3	1800	1800.031	1939
JSP_integrated_fast.mod	swv2	5	1800	1800.029	1667
JSP_integrated.mod	swv3	3	1800	1800.089	1992
JSP_integrated.mod	swv3	5	1800	1800.092	1709
JSP_integrated_fast.mod	swv3	3	1800	1800.045	1930
JSP_integrated_fast.mod	swv3	5	1800	1800.061	1674
JSP_integrated.mod	swv4	3	1800	1800.092	2031
JSP_integrated.mod	swv4	5	1800	1800.168	1728
JSP_integrated_fast.mod	swv4	3	1800	1800.007	1944
JSP_integrated_fast.mod	swv4	5	1800	1800.048	1711
JSP_integrated.mod	swv5	3	1800	1800.092	2007
JSP_integrated.mod	swv5	5	1800	1800.097	1742
JSP_integrated_fast.mod	swv5	3	1800	1800.038	1952
JSP_integrated_fast.mod	swv5	5	1800	1800.003	1654
JSP_integrated.mod	swv6	3	1800	1800.131	2828
JSP_integrated.mod	swv6	5	1800	1800.068	2285
JSP_integrated_fast.mod	swv6	3	1800	1800.077	2771
JSP_integrated_fast.mod	swv6	5	1800	1800.092	2109
JSP_integrated.mod	swv7	3	1800	1800.082	2848
JSP_integrated.mod	swv7	5	1800	1800.154	2160
JSP_integrated_fast.mod	swv7	3	1800	1800.079	2796
JSP_integrated_fast.mod	swv7	5	1800	1800.059	2022
JSP_integrated.mod	swv8	3	1800	1800.147	2930
JSP_integrated.mod	swv8	5	1800	1800.114	2328
JSP_integrated_fast.mod	swv8	3	1800	1800.067	2796
JSP_integrated_fast.mod	swv8	5	1800	1800.019	2230
JSP_integrated.mod	swv9	3	1800	1800.208	2853
JSP_integrated.mod	swv9	5	1800	1800.216	2306
JSP_integrated_fast.mod	swv9	3	1800	1800.081	2851
JSP_integrated_fast.mod	swv9	5	1800	1800.09	2147
JSP_integrated.mod	swv10	3	1800	1800.205	2893
JSP_integrated.mod	swv10	5	1800	1800.385	2346
JSP_integrated_fast.mod	swv10	3	1800	1800.052	2750
JSP_integrated_fast.mod	swv10	5	1800	1800.058	2219
