Dist=[
[	0	11	27	30	32	20	10	28	21	7	22	17	34	16	20	14	]
[	11	0	22	26	22	21	7	18	12	19	18	15	23	12	10	11	]
[	27	22	0	6	17	13	29	32	12	33	6	37	23	34	16	33	]
[	30	26	6	0	23	12	34	38	18	34	8	42	29	39	21	38	]
[	32	22	17	23	0	28	29	20	11	40	20	34	6	31	12	31	]
[	20	21	13	12	28	0	26	37	18	23	7	35	33	33	21	31	]
[	10	7	29	34	29	26	0	19	19	17	25	8	28	6	17	4	]
[	28	18	32	38	20	37	19	0	19	35	31	19	16	17	16	18	]
[	21	12	12	18	11	18	19	19	0	28	12	26	15	23	3	22	]
[	7	19	33	34	40	23	17	35	28	0	27	22	42	21	28	19	]
[	22	18	6	8	20	7	25	31	12	27	0	33	25	31	15	29	]
[	17	15	37	42	34	35	8	19	26	22	33	0	33	3	23	4	]
[	34	23	23	29	6	33	28	16	15	42	25	33	0	30	14	30	]
[	16	12	34	39	31	33	6	17	23	21	31	3	30	0	20	2	]
[	20	10	16	21	12	21	17	16	3	28	15	23	14	20	0	19	]
[	14	11	33	38	31	31	4	18	22	19	29	4	30	2	19	0	]
];

